name,highway,segments,length_km,predicted_risk,risk_low,risk_high,priority_score,severity,prevented_incidents_min,prevented_incidents_max,recommended_action,reported_crime
['Lexington Avenue' 'Solly Avenue'],residential,2,0.7825251542922681,3.25,0.4918434461478633,1.278402949668544,0,low,0,0,add_lighting,28.0
['Lex Street'],residential,4,0.175288657779689,4.15,0.6693520308500945,1.1105867966044318,0,low,0,0,add_lighting,8.0
['Brier Street'],residential,2,0.4613865006214532,31.799999999999997,3.1003348150363124,3.4071830169599657,0,low,0,0,add_lighting,18.0
['Bridle Road'],residential,19,3.1313681869663146,18.31578947368421,1.82188996258114,2.431256911401141,0,low,0,0,add_lighting,82.0
['Bridle Road' 'Bergen Street'],residential,2,0.5602615826341415,6.05,0.9316415320955361,1.264239729172203,0,low,0,0,add_lighting,18.0
['Bridle Road' 'Arnold Street'],residential,2,0.465931711513734,9.2,1.2083430318071573,1.4396520500892547,0,low,0,0,add_lighting,12.0
['Bridget Street'],residential,2,0.2397621268421312,73.25,7.7291561107846745,8.485621093073599,0,high,0,0,add_patrols,6.0
['Bridge Street'],secondary,100,9.006583877426468,53.51,6.100025082247999,7.972097335378072,0,severe,0,0,add_lighting,2666.0
['Briar Road'],residential,10,1.0956708932547303,11.83,1.3480620050549008,1.7846186576719894,0,low,0,0,add_lighting,182.0
['Brentwood Road'],residential,6,0.5033202768769484,17.71666666666667,1.833256074364077,2.2941111811156456,0,low,0,0,add_lighting,13.0
['Bread Street'],residential,2,0.108028267660424,23.45,1.9280212925009534,3.1910036876806442,0,low,0,0,add_lighting,10.0
['Brant Place'],residential,3,0.219053012536422,15.733333333333334,1.6288571425560752,2.1294703603593557,0,low,0,0,add_lighting,24.0
['Brandywine Street' 'North Sloan Street'],residential,1,0.1166981800327264,54.6,4.569072375188684,6.405190803116697,0,moderate,0,0,add_lighting_and_booth,9.0
['Linn Street'],residential,1,0.1288942373405024,74.4,7.89646808141816,8.688945509349514,0,high,0,0,add_patrols,7.0
['Linmore Avenue'],residential,12,1.1041985663933496,41.891666666666666,3.9101745012211495,4.857041182007854,0,high,0,0,add_lighting_and_booth,304.0
['Lindsay Street'],residential,10,1.6652103587274532,3.7800000000000002,0.6250325497305453,0.9842226326180097,0,low,0,0,add_lighting,26.0
['Lindley Avenue'],residential,58,4.784092257889223,56.563793103448276,5.383176235828449,7.0519912524056,0,severe,0,0,add_lighting_and_booth,2068.0
['Lindenhurst Street'],residential,8,0.8123899355927215,6.6375,0.805840279699441,1.5209140961457175,0,low,0,0,add_lighting,26.0
['Lindenhurst Street' 'Richwood Road'],residential,2,0.584867961671553,2.0,0.5896547441659724,0.7706076431609615,0,low,0,0,add_lighting,6.0
['Linden Terrace'],residential,2,0.0709379574018072,10.35,1.288192511642691,1.5398048333013516,0,low,0,0,add_lighting,0.0
['Linden Place'],residential,2,0.0697917974760424,7.35,1.0902663111289674,1.2838210987960066,0,low,0,0,add_lighting,2.0
['Linden Avenue'],tertiary,52,4.570161039646021,34.534615384615385,2.888530896094714,4.665521282654274,0,moderate,0,0,add_lighting,673.0
['Lindbergh Boulevard' 'South 84th Street'],residential,1,0.3473732087954343,4.4,0.583468522305042,1.3949133005804848,0,low,0,0,add_lighting,5.0
['Lindbergh Boulevard' 'South 70th Street'],residential,2,0.1823052347699053,66.45,6.4954485885748365,9.225557651659578,0,high,0,0,add_lighting_and_booth,8.0
['Linda Place'],residential,2,0.145456603700368,34.15,3.1552722205224732,3.818398229796012,0,low,0,0,add_lighting,10.0
['Lincoln Drive' 'West Abington Avenue'],residential,2,0.4479586447727644,25.049999999999997,2.468516366149342,2.8241240326760746,0,low,0,0,add_lighting,14.0
['Lima Street'],residential,5,0.3439261199783527,33.04,2.3851857145533732,4.84092123732633,0,moderate,0,0,add_lighting,105.0
['Lilac Lane'],residential,2,0.2920433260385052,7.0,1.0368772677762088,1.2974017631086574,0,low,0,0,add_lighting,2.0
['Liberty Lane' 'Poquessing Creek Lane'],residential,2,0.9671913729463134,5.2,0.7593517344855284,1.3172166021789717,0,low,0,0,add_lighting,16.0
['Lockart Plaza'],residential,2,0.164676333713821,13.75,1.2713583880947432,2.255536737886995,0,low,0,0,add_lighting,2.0
['Lockart Place'],residential,2,0.1721577889775954,7.95,0.9020557305186789,1.6148281879995734,0,low,0,0,add_lighting,6.0
['Lockart Lane'],residential,2,0.153212309784318,16.6,1.7068030040207791,2.230560193232035,0,low,0,0,add_lighting,8.0
['Lockart Court'],residential,1,0.0353905955053875,1.5,0.4625229680830318,0.624572480698139,0,low,0,0,add_lighting,3.0
['Lock Street'],residential,2,0.1437680592744478,94.5,12.175839892308536,18.537023442562422,0,severe,0,0,full_intervention,44.0
['Lochwood Road'],residential,4,0.6165401819013152,16.7,1.7474087262433182,2.167403096883757,0,low,0,0,add_lighting,12.0
['Lloyd Street'],residential,3,0.32227011891949797,52.199999999999996,5.191072408667007,6.370576317738471,0,high,0,0,add_lighting,40.0
['Lloyd Street' 'Yocum Street'],residential,1,0.1485584679974524,39.5,3.6605596517300327,4.287125606348956,0,low,0,0,add_lighting,17.0
['Livezey Street'],residential,26,2.0661833046100706,34.80769230769231,2.893574493540492,4.8022105729761595,0,high,0,0,add_lighting,87.0
['Livezey Lane'],residential,4,1.9749953837910248,11.1,1.2888790340248606,1.7343494797587322,0,low,0,0,add_lighting,56.0
['Little Sigel Street'],residential,2,0.108220226805021,22.1,2.0695979294928075,2.7689763965795064,0,low,0,0,add_lighting,6.0
['Little Cresson Street'],residential,2,0.8221753276138769,3.0,0.6557763392569176,0.9528143052860756,0,low,0,0,add_lighting,20.0
['Litchfield Street'],residential,3,0.4903900757701522,29.399999999999995,2.691091144590685,3.489673886496895,0,low,0,0,add_lighting,52.0
['Lister Street'],residential,5,1.1699535014033942,13.98,1.4359075229051679,2.06442064458881,0,low,0,0,add_lighting,25.0
['Linton Street'],residential,3,0.5335622847387727,30.766666666666666,2.85405606413155,3.5338606505026084,0,low,0,0,add_lighting,73.0
['Linney Street'],residential,4,0.3235385668913528,10.25,1.2092763355430065,1.6314230236342329,0,low,0,0,add_lighting,4.0
['Longspur Place'],residential,2,0.2656987829501822,4.65,0.644684787918164,1.3743049294685157,0,low,0,0,add_lighting,8.0
['Longmead Lane'],residential,2,0.244650491362956,7.0,0.943802752175599,1.4083447229191441,0,low,0,0,add_lighting,8.0
['Longford Street'],residential,2,0.3706723164788438,39.4,3.7781174388194927,4.1367449155399525,0,moderate,0,0,add_lighting,10.0
['London Road'],residential,10,0.7315796640120568,9.120000000000001,0.972583989542818,1.7990508280658912,0,low,0,0,add_lighting,42.0
['Lomond Lane'],residential,6,0.6521848025813672,8.35,1.0703840890096952,1.4902011580702992,0,low,0,0,add_lighting,28.0
['Logan Street'],residential,4,0.5829841044588921,39.8,3.45950154866283,4.59191213127861,0,moderate,0,0,add_lighting,50.0
['Logan Circle'],primary,5,0.3543734964381123,70.34,9.350889155347692,12.35440258617414,0,severe,0,0,add_patrols,54.0
['Lofty Street'],residential,1,0.0496983062924254,83.4,9.784811625070772,10.574480928060146,0,high,0,0,add_patrols,2.0
